Sentence	Translation	Speaker	Rating	Ambiguity	Voice	Topicalized	Order	Actor_Type	Actor_Case	Undergoer_Type	Undergoer_Case	Beneficiary_Type	Beneficiary_Case	Location_Type	Location_Case	Poss_Type	Poss_Case	Theme_Type	Theme_Case	Rating_str
ini na suwan tu tengisaw na cukap mukuwa i pacaran.	The dog takes the slippers outside.	3	1	none	PF	actor	AVUVL	common_def	NOM	common_def	NOM			loc	LOC					Elicited
a suwan tu tengisaw na cukap mukuwa i pacaran.	The dog takes the slippers outside.	3	2	none	PF	actor	AVUVL	common_indf	NOM	common_def	NOM			loc	LOC					Accepted
kitenged i Pusang kana sinsi.	Pusang is beaten by the teacher.	3	1	A-U	PASS	none	VUA	common_def	OBL	prsn_sg	NOM									Elicited
kitenged i Pusang da sinsi.	Pusang is beaten by the teacher.	3	3	A-U	PASS	none	VUA	common_indf	OBL	prsn_sg	NOM									Rejected
cuwalri (na dingki)!	Turn on the light!	3	1	none	LF	none	VU			common_def	NOM									Elicited
nantu sidapan na idap mulremes lra.  	The broom's dustpan is missing. 	5	1	P-Pd	AF-APOSS	actor	PdPV	common_def	NOM							common_def	NOM			Elicited
nantu sidapan kana idap mulremes lra.  	The broom's dustpan is missing. 	5	2	P-Pd	AF-APOSS	actor	PdPV	common_def	NOM							common_def	OBL			Accepted
nantu sidapan a idap mulremes lra.  	The broom's dustpan is missing. 	5	3	P-Pd	AF-APOSS	actor	PdPV	common_def	NOM							common_indf	NOM			Rejected
nantu sidapan da idap mulremes lra.  	The broom's dustpan is missing. 	5	3	P-Pd	AF-APOSS	actor	PdPV	common_def	NOM							common_indf	OBL			Rejected
nantu sidapan nina idap mulremes lra.  	The broom's dustpan is missing. 	5	3	P-Pd	AF-APOSS	actor	PdPV	common_def	NOM							common_def	GEN			Rejected
nantu sidapan na idap.	The dustpan belongs to the broom.	5	1	P-Pd	n/a-POSS	none	PdP	common_def	NOM							common_def	NOM			Elicited
nantu sidapan a idap.	The dustpan belongs to a broom.	5	2	P-Pd	n/a-POSS	none	PdP	common_def	NOM							common_indf	NOM			Accepted
nantu sidapan da idap.	The dustpan belongs to a broom.	5	2	P-Pd	n/a-POSS	none	PdP	common_def	NOM							common_indf	OBL			Accepted
nantu sidapan kana idap.	The dustpan belongs to the broom.	5	2	P-Pd	n/a-POSS	none	PdP	common_def	NOM							common_def	OBL			Accepted
nantu idap na sidapan mulremes lra.	The dustpan's broom is missing. 	5	1	P-Pd	n/a-POSS	actor	PdPPr	common_def	NOM							common_def	NOM			Elicited
nantu idap kana sidapan mulremes lra.	The dustpan's broom is missing. 	5	2	P-Pd	n/a-POSS	actor	PdPPr	common_def	NOM							common_def	OBL			Accepted
nantu idap nina sidapan mulremes lra.	The dustpan's broom is missing. 	5	3	P-Pd	n/a-POSS	actor	PdPPr	common_def	NOM							common_def	GEN			Rejected
i Pusang tu kaselruaw i Umang. 	Pusang scolds Umang. 	5	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Elicited
i Pusang tu kaselruaw kani Umang. 	Pusang scolds Umang. 	5	2	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Accepted
tu kaselruaw i Umang ni Pusang. 	Pusang scolds Umang. 	5	2	A-U	PF	none	VUA	prsn_sg	GEN	prsn_sg	NOM									Accepted
tu adayaw i Umang mukuwa kani Lutan ni Pusang. 	Pusang takes Umang to Lutan.	5	2	A-U-L	PF	none	VULA	prsn_sg	GEN	prsn_sg	NOM									Accepted
duwa lra i Lutan? 	Has Lutan arrived? 	5	1	none	AF	none	VA	prsn_sg	NOM											Elicited
tu verayay na kavang i Lutan kana lralrak. 	Lutan gives the clothes to the children. 	5	1	A-B	LF	none	VUAB	prsn_sg	NOM	common_def	NOM	common_def	OBL							Elicited
tu verayay na kavang ni Lutan kana lralrak. 	Lutan gives the clothes to the children. 	5	2	A-B	LF	none	VUAB	prsn_sg	GEN	common_def	NOM	common_def	OBL							Accepted
tu verayay kana kavang i Lutan kana lralrak. 	Lutan gives the clothes to the children. 	5	1	A-B	LF	none	VUAB	prsn_sg	NOM	common_def	OBL	common_def	OBL							Elicited
tu verayay na kavang kani Lutan kana lralrak. 	Lutan gives the clothes to the children. 	5	3	A-B	LF	none	VUAB	prsn_sg	OBL	common_def	NOM	common_def	OBL							Rejected
na Lutan tu verayay da kavang kana lralrak. 	Lutan et al. give clothes to the children. 	5	1	A-B	LF	actor	AVUB	prsn_pl	NOM	common_indf	OBL	common_def	OBL							Elicited
tu paliding ni Lutan.	This car is Lutan's. 	5	1	none	n/a-POSS	none	PdP									prsn_sg	GEN			Elicited
tu paliding kani Lutan.	This car is Lutan's. 	5	2	none	n/a-POSS	none	PdP									prsn_sg	OBL			Accepted
tu paliding i Lutan.	This car is Lutan's. 	5	3	none	n/a-POSS	none	PdP									prsn_sg	NOM			Rejected
tu paliding na Lutan 	Lutan et al.'s car.	5	1	none	n/a-POSS	none	PdP									prsn_pl	NOM			Elicited
tu paliding kana Lutan 	Lutan et al.'s car.	5	2	none	n/a-POSS	none	PdP									prsn_pl	OBL			Accepted
tu adayaw na kuce na suwan.	The shoes were moved by the dog. 	5	1	none	PF	none	VUA	common_def	NOM	common_def	NOM									Elicited
tu adayaw na kuce kana suwan.	The shoes were moved by the dog. 	5	1	none	PF	none	VUA	common_def	OBL	common_def	NOM									Elicited
tu adayaw na kuce a suwan.	The shoes were moved by a dog. 	5	1	none	PF	none	VUA	common_indf	NOM	common_def	NOM									Elicited
tu adayaw na kuce da suwan.	The shoes were moved by a dog. 	5	2	none	PF	none	VUA	common_indf	OBL	common_def	NOM									Accepted
nintu/nintaw dusiya i Lutan. 	The car is Lutan's. 	2	1	none	n/a-POSS	none	PdP									prsn_sg	NOM			Elicited
nintu/nintaw dusiya kani Lutan. 	The car is Lutan's. 	2	3	none	n/a-POSS	none	PdP									prsn_sg	OBL			Rejected
tu dusiya i Lutan. 	The car is Lutan's. 	2	1	none	n/a-POSS	none	PdP									prsn_sg	NOM			Elicited
tu dusiya ni Lutan. 	The car is Lutan's. 	2	2	none	n/a-POSS	none	PdP									prsn_sg	GEN			Accepted
tu dusiya kani Lutan. 	The car is Lutan's. 	2	2	none	n/a-POSS	none	PdP									prsn_sg	OBL			Accepted
pated da saya a tigami i Simuy kani Pusang.  	Simuy sent a letter to Pusang. 	1	1	A-B	AF	none	VUAB	prsn_sg	NOM	prsn_sg	OBL									Elicited
pated da saya a tigami kani Pusang i Simuy. 	Simuy sent a letter to Pusang. 	1	1	A-B	AF	none	VUBA	prsn_sg	NOM	prsn_sg	OBL									Elicited
pated da saya a pawkon i Simuy palru i Dipung.	Simuy sent a package to Japan. 	1	1	none	AF	none	VUAL	prsn_sg	NOM					loc	LOC					Elicited
pated da saya a pawkon i Simuy mukuwa i Dipung.	Simuy sent a package to Japan. 	1	1	none	AF	none	VUAVL	prsn_sg	NOM					loc	LOC					Elicited
tu pateday na pawkon i Dipung i Simuy.	Simuy sent a package to Japan. 	1	1	none	LF	none	VULA	prsn_sg	NOM					loc	LOC					Elicited
tu tengeday i Lutan? 	Did he beat Lutan?	1	1	A-U	LF	none	VU			prsn_sg	NOM									Elicited
tu vususaw i tainataw i Simuy mukuwa lra cemima'a da tiwungan. 	Simuy lied to her mother that she was going to buy meat. 	1	1	A-U	PF	none	VUAX	prsn_sg	NOM	prsn_sg	NOM									Elicited
pauwa i Valraka temakesiya i Lutan. 	(He) let Lutan study in the US.	1	1	A-U	AF	none	VLXU			prsn_sg	NOM			loc	LOC					Elicited
pauwa i Valraka temakesiya kani Lutan i malri	The father let Lutan study in the US.	1	1	A-U	AF	none	VLXUA	prsn_sg	NOM	prsn_sg	OBL			loc	LOC					Elicited
tu kikurangay na kurang di ipuwa kana ara (savak). 	The vegetables were picked, and then they were put into the basket. 	1	1	none	LF	none	VUX			common_def	NOM									Elicited
tu puwanay na siauw kana tu i nani. 	Mom puts the dish on the table. 	1	1	none	LF	none	VULA	prsn_sg	NOM	common_def	NOM			common_def	OBL					Elicited
tu puwanay i nani na siauw kana tu. 	Mom puts the dish on the table. 	1	1	none	LF	none	VAUL	prsn_sg	NOM	common_def	NOM			common_def	OBL					Elicited
tu paverayanay da kare'alriyan na paisu kani Lutan. 	He made Lutan pay for his lunch. (He caused Lutan to give him lunch money.)	1	1	A-U	CF	none	VTU			prsn_sg	OBL							common_indf	OBL	Elicited
tu reve'aw lra na rumaruma' na ngunin. 	The earthquake knocked down the house. 	1	1	none	PF	none	VUA	common_def	NOM	common_def	NOM									Elicited
tu reve'aw lra na ngunin na rumaruma'. 	The earthquake knocked down the house. 	1	1	none	PF	none	VAU	common_def	NOM	common_def	NOM									Elicited
tu reve'aw lra kana ngunin na rumaruma'. 	The earthquake knocked down the house. 	1	1	none	PF	none	VAU	common_def	OBL	common_def	NOM									Elicited
tu pakavekasaw kani Simuy a saya tuki i Lutan. 	Lutan made Simuy run for an hour. 	1	1	A-U	PF	none	VUXA	prsn_sg	NOM	prsn_sg	OBL									Elicited
nguwayan a saya tuki mu, tu pavekasaw kani Simuy i Lutan. 	An hour ago, Lutan made Simuy run. 	1	1	A-U	PF	other	XVUA	prsn_sg	NOM	prsn_sg	OBL									Elicited
pakarun kani Pusang i Lutan pulralranga demeru kani Umang. 	Lutan asked Pusang to help Umang cook. 	1	1	A-U-B	AF	none	VUAXB	prsn_sg	NOM	prsn_sg	OBL	prsn_sg	OBL	prsn_sg	OBL					Elicited
tu pakarunay kani Pusang i Lutan pulralranga demeru kani Umang. 	Lutan asked Pusang to help Umang cook. 	1	2	A-U-B	LF	none	VUAXB	prsn_sg	NOM	prsn_sg	OBL	prsn_sg	OBL	prsn_sg	OBL					Accepted
i Lutan mu, tu pakarunay i Pusang mukuwa pulralranga demeru kani Umang. 	Lutan asked Pusang to go help Umang cook. 	1	1	A-U-B	LF	actor	AVUVXB	prsn_sg	NOM	prsn_sg	NOM	prsn_sg	OBL	prsn_sg	OBL					Elicited
kedemel tu valray na Pusang	The books of Pusang and the other people are thick.	5	1	none	n/a-POSS	none	PrPdP									prsn_pl	NOM			Elicited
kedemel tu valray kana Pusang	The books of Pusang and the other people are thick.	5	3	none	n/a-POSS	none	PrPdP									prsn_pl	OBL			Rejected
na Pusang mu kedemel tu valray	The books of Pusang and the other people are thick.	5	2	none	n/a-POSS	possessor	PPrPd									prsn_pl	NOM			Accepted
kedemel tu valray ni Pusang	Pusang's book is thick	5	1	none	n/a-POSS	none	PrPdP									prsn_sg	GEN			Elicited
kedemel tu valray i Pusang	Pusang's book is thick	5	1	none	n/a-POSS	none	PrPdP									prsn_sg	NOM			Elicited
kedemel tu valray kani Pusang	Pusang's book is thick	5	1	none	n/a-POSS	none	PrPdP									prsn_sg	OBL			Elicited
tu valray na Pusang mu kedemel	The books of Pusang and the other people are thick.	5	2	none	n/a-POSS	possessor-possessed	PdPPr									prsn_pl	NOM			Accepted
i Pusang mu kedemel tu valray	Pusang's book is thick.	5	1	none	n/a-POSS	possessor	PPrPd									prsn_sg	NOM			Elicited
ni Pusang mu kedemel tu valray	Pusang's book is thick.	5	3	none	n/a-POSS	possessor	PPrPd									prsn_sg	GEN			Rejected
kani Pusang mu kedemel tu valray	Pusang's book is thick.	5	3	none	n/a-POSS	possessor	PPrPd									prsn_sg	OBL			Rejected
tu tengeday i Lutan 	Lutan hit him/her.	5	2	A-U	LF	none	VA	prsn_sg	NOM											Accepted
kitenged i Lutan	Lutan was hit.	5	2	A-U	PASS	none	VU			prsn_sg	NOM									Accepted
kemakarac na unan kana suwan	The snake bit the dog.	5	1	A-U	AF	none	VAU	common_def	NOM	common_def	OBL									Elicited
kemakarac na unan na suwan	The snake bit the dog.	5	3	A-U	AF	none	VAU	common_def	NOM	common_def	NOM									Rejected
tu vurukaw i Lutan	He let Lutan leave.	5	1	A-U	PF	none	VU			prsn_sg	NOM									Elicited
tu tengeday i Lutan	He was hit by Lutan.	4	2	A-U	LF	none	VA	prsn_sg	NOM											Accepted
tu tengeday i Lutan ni Simuy	Lutan was hit by simuy.	4	2	A-U	LF	none	VUA	prsn_sg	GEN	prsn_sg	NOM									Accepted
i Simuy mu tu tengeday i Lutan	Simuy was hit by Lutan.	4	2	A-U	LF	undergoer	UVA	prsn_sg	NOM	prsn_sg	NOM									Accepted
ni Simuy mu tu tengeday i Lutan	Simuy was hit by Lutan.	4	3	A-U	LF	undergoer	UVA	prsn_sg	NOM	prsn_sg	GEN									Rejected
na unan mu kemakarac kana suwan	The snake bit the dog.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Accepted
na unan mu kemakarac na suwan	The snake bit the dog.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_def	NOM									Accepted
tu karacaw na unan na suwan	The snake bit the dog.	4	2	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Accepted
tu karacaw na unan kana suwan	The snake bit the dog.	4	3	A-U	PF	none	VAU	common_def	NOM	common_def	OBL									Rejected
tu vurukaw i Lutan	Lutan let him leave./*He let Lutan leave.	4	1	A-U	PF	none	VA	prsn_sg	NOM											Elicited
tu vurukaw na cau i Lutan	Someone chased away Lutan.	4	1	A-U	PF	none	VAU	common_def	NOM	prsn_sg	NOM									Elicited
na suwan 'ema'evang da tutus	The dog is chasing the mouse.	4	1	A-U	AF	actor	AVU	common_def	NOM	common_indf	OBL									Elicited
na suwan 'ema'evang na tutus	The dog is chasing the mouse.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_def	NOM									Accepted
na suwan 'ema'evang a tutus	The dog is chasing the mouse.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_indf	NOM									Accepted
na suwan 'ema'evang da tutus	The dog is chasing the mouse.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_indf	OBL									Accepted
ema'evang na suwan a tutus	The dog is chasing the mouse.	4	2	A-U	AF	none	VAU	common_def	NOM	common_indf	NOM									Accepted
ema'evang na suwan kana tutus	The dog is chasing the mouse.	4	1	A-U	AF	none	VAU	common_def	NOM	common_def	OBL									Elicited
ema'evang na suwan da tutus	The dog is chasing the mouse.	4	3	A-U	AF	none	VAU	common_def	NOM	common_indf	OBL									Rejected
ema'evang na suwan na tutus	The dog is chasing the mouse.	4	3	A-U	AF	none	VAU	common_def	NOM	common_def	NOM									Rejected
na pa'alrup ma'alrup da vavuy	The hunter is hunting a/the pig.	4	1	A-U	AF	actor	AVU	common_def	NOM	common_indf	OBL									Elicited
na pa'alrup ma'alrup na vavuy	The hunter is hunting a/the pig.	4	2	A-U	AF	actor	AVU	common_def	NOM	common_def	NOM									Accepted
ma'alrup da vavuy na pa'alrup	The hunter is hunting a/the pig.	4	1	A-U	AF	none	VUA	common_def	NOM	common_indf	OBL									Elicited
na vavuy tu avangaw na pa'alrup	The boar was caught by the hunter.	4	1	A-U	PF	undergoer	UVA	common_def	NOM	common_def	NOM									Elicited
tu avangaw na pa'alrup na vavuy	The boar was caught by the hunter.	4	2	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Accepted
kikarac na suwan kana unan	The dog was bit by the snake	5	1	A-U	PASS	none	VUA	common_def	OBL	common_def	NOM									Elicited
tu karacaw na unan kana suwan	The snake bit the dog.	5	1	A-U	PF	none	VAU	common_def	NOM	common_def	OBL									Elicited
kemarac na suwan kana unan	The dog bit the snake	5	1	A-U	AF	none	VAU	common_def	NOM	common_def	OBL									Elicited
tu karacaw na unan na suwan	The dog bit the snake.	5	2	A-U	PF	none	VUA	common_def	NOM	common_def	NOM									Accepted
tu karacaw na unan 	The snake bit (something)./It is the snake that bit (it).	5	1	none	PF	none	VA	common_def	NOM											Elicited
na unan kikarac kana suwan 	The snake was bit by the dog.	5	1	A-U	PASS	undergoer	UVA	common_def	OBL	common_def	NOM									Elicited
na suwan tu karacaw na unan 	The dog bit the snake.	5	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
idu na unan kemakarac kanidu na suwan	That snake is biting the dog.	5	1	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Elicited
idu na unan kemakarac idu na suwan	That snake is biting the dog.	5	3	A-U	AF	actor	AVU	common_def	NOM	common_def	NOM									Rejected
na suwan kikakarac kana unan	The dog was bitten by the snake.	5	1	A-U	PASS	undergoer	UVA	common_def	OBL	common_def	NOM									Elicited
na vulraw tu akanaw na Umang 	Umang and those with him ate fish.	5	1	A-U	PF	undergoer	UVA	prsn_pl	NOM	common_def	NOM									Elicited
na pararawa tu kuwangaw na vavuy	The hunter is hunting the boar with a gun.	5	1	none	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
tu kuwangaw na vavuy na pararawa	The hunter is hunting the boar with a gun.	5	1	none	PF	none	VUA	common_def	NOM	common_def	NOM									Elicited
i Pusang temenged i Simuy	Pusang hit Simuy	5	3	A-U	AF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Rejected
i Pusang temenged kani Simuy	Pusang hit Simuy	5	1	A-U	AF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Elicited
tu pinacayaw na Umang (idu) na cumay	The bear killed Umang and those with him (make them die).	5	1	A-U	PF	none	VUA	common_def	NOM	prsn_pl	NOM									Elicited
na Umang tu pinacayaw na cumay	Umang and those with him killed the bear (make them die).	5	1	A-U	PF	actor	AVU	prsn_pl	NOM	common_def	NOM									Elicited
tu pinacayaw na cumay na Umang 	Umang and those with him killed the bear (make them die).	5	1	A-U	PF	none	VUA	prsn_pl	NOM	common_def	NOM									Elicited
tu pinacayaw na cumay 	The bear was caused to die.	5	1	A-U	PF	none	VU			common_def	NOM									Elicited
mekan kana vulraw na ngiyaw	Cats eat fish.	5	1	A-U	AF	none	VUA	common_def	NOM	common_def	OBL									Elicited
mekan da vulraw na ngiyaw	Cats eat fish.	5	1	A-U	AF	none	VUA	common_def	NOM	common_indf	OBL									Elicited
mucalacalaw tu maca na cau 	Human eyes are round.	5	1	none	n/a-POSS	none	PrPdP									common_def	NOM			Elicited
tu pakanay na hung 	He fed the cow.	5	1	A-U	LF	none	VB					common_def	NOM							Elicited
na hung tu pakanay 	The cow fed (a person). /*He fed the cow.	5	2	A-U	LF	actor	AV	common_def	NOM											Accepted
kana Umang mu tu pakananay idu na vulraw	Umang and those with him are feeding that/those fish.  (*He let Umang and those with him have fish.)	2	2	none	CF	actor	AVU	prsn_pl	OBL	common_def	NOM									Accepted
vulay (idu) na sirusiruvan tu vinan	The wings of the butterfly are beautiful.	2	2	none	n/a-POSS	none	PrPPd									common_def	NOM			Accepted
vulay tu vinan na sirusiruvan	The wings of the butterfly are beautiful.	2	2	none	n/a-POSS	none	PrPdP									common_def	NOM			Accepted
vulay tu vinan kana sirusiruvan	The wings of the butterfly are beautiful.	2	2	none	n/a-POSS	none	PrPdP									common_def	OBL			Accepted
na sirusiruvan mu vulay tu vinan	The wings of the butterfly are beautiful.	2	2	none	n/a-POSS	possessor	PPrPd									common_def	NOM			Accepted
kana sirusiruvan mu vulay tu vinan	The wings of the butterfly are beautiful.	2	3	none	n/a-POSS	possessor	PPrPd									common_def	OBL			Rejected
na sirusiruvan tu vinan mu vulay	The wings of the butterfly are beautiful.	2	2	none	n/a-POSS	possessor-possessed	PPdPr									common_def	NOM			Accepted
vulay tu vinan idu na sirusiruvan	The wings of the butterfly are beautiful.	2	1	none	n/a-POSS	none	PrPdP									common_def	NOM			Elicited
i Lutan mu uvuruk tu kuwayaw i Simuy	Lutan asked Simuy to leave.	2	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Elicited
tu valray na Ciyan mu kedemel	The books of Ciyan and those with her are thick.	2	1	none	n/a-POSS	possessor-possessed	PdPPr									prsn_pl	NOM			Elicited
tu valray kana Ciyan mu kedemel	The books of Ciyan and those with her are thick.	2	2	none	n/a-POSS	possessor-possessed	PdPPr									prsn_pl	OBL			Accepted
i Ciyan tu valray mu kedemel  	Ciyan's book is thick.	2	1	none	n/a-POSS	possessor-possessed	PPdPr									prsn_sg	NOM			Elicited
kana Ciyan mu kedemel tu valray	The books of Ciyan and those with her are thick.	2	3	none	n/a-POSS	possessor	PPdPr									prsn_pl	OBL			Rejected
na Ciyan mu kedemel tu valray	The books of Ciyan and those with her are thick.	2	2	none	n/a-POSS	possessor	PPrPd									prsn_pl	NOM			Accepted
a valray ni Ciyan	It is Ciyan's book	2	2	none	n/a-POSS	none	PdP									prsn_sg	GEN			Accepted
a valray kani Ciyan mu kedemel	Ciyan's book is thick.	2	2	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	OBL			Accepted
a valray ni Ciyan mu kedemel	Ciyan's book is thick.	2	2	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	GEN			Accepted
a valray i Ciyan mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	NOM			Rejected
i Ciyan a valray mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PPdPr									prsn_sg	NOM			Rejected
i Ciyan na valray mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PPdPr									prsn_sg	NOM			Rejected
i Ciyan mu tu valray kedemel	Ciyan's book is thick.	2	1	none	n/a-POSS	possessor	PPdPr									prsn_sg	NOM			Elicited
tu valray i Ciyan (mu) kedemel	Ciyan's book is thick.	2	1	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	NOM			Elicited
na valray kani Ciyan mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	OBL			Rejected
na valray ni Ciyan mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	GEN			Rejected
na valray i Ciyan mu kedemel	Ciyan's book is thick.	2	3	none	n/a-POSS	possessor-possessed	PdPPr									prsn_sg	NOM			Rejected
kikarac kana 'alrivacenan idu na suwan 	The bee stung the dog.	2	1	none	PASS	none	VAU	common_def	OBL	common_def	NOM									Elicited
kemakarac na 'alrivacenan kana suwan	The bee is stinging the dog.	2	1	none	AF	none	VAU	common_def	NOM	common_def	OBL									Elicited
kemakarac na 'alrivacenan na suwan	The bee is stinging the dog.	2	3	none	AF	none	VAU	common_def	NOM	common_def	NOM									Rejected
kemakarac na 'alrivacenan a suwan	The bee is stinging the dog.	2	3	none	AF	none	VAU	common_def	NOM	common_indf	NOM									Rejected
i Umang mu tu kuwangaw na cumay 	Umang killed that/the bear.	2	1	none	PF	actor	AVU	prsn_sg	NOM	common_def	NOM									Elicited
tu kuwangaw i Umang na cumay	Umang killed that/the bear.	2	1	none	PF	none	VAU	prsn_sg	NOM	common_def	NOM									Elicited
na Pusang mena'u  	Pusang and those with him saw (something...)  (*He saw Pusang and those with him.)	2	2	A-U	AF	actor	AV	prsn_pl	NOM											Accepted
kana Pusang mena'u	Intended: He saw Pusang and those with him.	2	3	A-U	AF	actor	AV	prsn_pl	OBL											Rejected
na unan tu velranganay na suwan	The snake chased the dog.	2	1	A-U	CF	actor	AVU	common_def	NOM											Elicited
tu velranganay na suwan na unan	The dog chased the snake.	2	2	A-U	CF	none	VAU	common_def	NOM	common_def	NOM									Accepted
tu velranaganay na unan na suwan	The snake chased the dog.	2	2	A-U	CF	none	VAU	common_def	NOM	common_def	NOM									Accepted
ini na vavayan mu tu verayay a walru kanini na alrak	This woman took the candy for the child.	2	1	A-B	LF	actor	AVUB	common_def	NOM	common_indf	NOM	common_def	NOM							Elicited
ini na vavayan mu tu verayay a walru ini na alrak	This woman took the candy for the child.	2	3	A-B	LF	actor	AVUB	common_def	NOM	common_indf	NOM	common_def	NOM							Rejected
a walru tu verayay idu na vavayan kanini na alrak	This woman took the candy for the child.	2	3	A-B	LF	undergoer	UVAB	common_def	NOM	common_indf	NOM	common_def	NOM							Rejected
i ina cemacuwalr kana 'alrevan	The mother is opening the door.	3	2	none	AF	actor	AVU	prsn_sg	NOM	common_def	OBL									Accepted
i ina cemacuwalr na 'alrevan	The mother is opening the door.	3	3	none	AF	actor	AVU	prsn_sg	NOM	common_def	NOM									Rejected
i ina cemacuwalr da 'alrevan	The mother is opening the door.	3	2	none	AF	actor	AVU	prsn_sg	NOM	common_indf	OBL									Accepted
i ina cemacuwalr a 'alrevan	The mother is opening the door.	3	3	none	AF	actor	AVU	prsn_sg	NOM	common_indf	NOM									Rejected
kedemel tu valray na Pusang	The books of Pusang and his family are thick.	3	2	none	n/a-POSS	none	PrPdP									prsn_pl	NOM			Accepted
kedemel tu valray kana Pusang	The books of Pusang and his family are thick.	3	2	none	n/a-POSS	none	PrPdP									prsn_pl	OBL			Accepted
kedemel tu valray i Pusang	Pusang's book is thick.	3	1	none	n/a-POSS	none	PrPdP									prsn_sg	NOM			Elicited
na Pusang mu kedemel nantu valray	The books of Pusang and his family are thick	3	1	none	n/a-POSS	possessor	PPrPd									prsn_pl	NOM			Elicited
kana Pusang mu kedemel nantu valray	The books of Pusang and his family are thick	3	3	none	n/a-POSS	possessor	PPrPd									prsn_pl	OBL			Rejected
dangdarang tu uncan ni Pusang	Pusang's nose is red.	3	1	none	n/a-POSS	none	PrPdP									prsn_sg	GEN			Elicited
dangdarang tu valray i Pusang	Pusang's book is red.	3	1	none	n/a-POSS	none	PrPdP									prsn_sg	NOM			Elicited
dangdarang tu valray ni Pusang	Pusang's book is red.	3	2	none	n/a-POSS	none	PrPdP									prsn_sg	GEN			Accepted
dangdarang tu valray kani Pusang	Pusang's book is red.	3	3	none	n/a-POSS	none	PrPdP									prsn_sg	OBL			Rejected
i Simuy mu tu tengeday i Lutan	Simuy hit Lutan. (*Simuy was hit by Lutan)	3	2	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Accepted
ni Simuy mu tu tengeday i Lutan	Simuy hit Lutan. (*Simuy was hit by Lutan)	3	3	A-U	LF	actor	AVU	prsn_sg	GEN	prsn_sg	NOM									Rejected
tu tengeday i Lutan i Simuy	Intend: Simuy was hit by Lutan.	3	3	A-U	LF	none	VAU	prsn_sg	NOM	prsn_sg	NOM									Rejected
tu tengeday i Lutan ni Simuy	Intend: Simuy was hit by Lutan.	3	3	A-U	LF	none	VAU	prsn_sg	NOM	prsn_sg	GEN									Rejected
(ini) na suwan ma'evang kana tutus	That/The dog is chasing the mouse.	3	2	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Accepted
(ini) na suwan ma'evang na tutus	That/The dog is chasing the mouse.	3	3	A-U	AF	actor	AVU	common_def	NOM	common_def	NOM									Rejected
Dipung tu 'aliyan na sinsi	The friend of the teacher is Japanese.	3	1	P-Pd	n/a-POSS	none	PrPdP									common_def	NOM			Elicited
na suwan tu capi'anay na ngiyaw	The dog kicked the cat.	3	1	A-U	CF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
tu capi'anay na ngiyaw na suwan	Intend: The dog kicked the cat.	3	3	A-U	CF	none	VUA	common_def	NOM	common_def	NOM									Rejected
vulay tu pakpak (ini) na ayam	The bird's wings are beautiful.	3	1	none	n/a-POSS	none	PrPdP									common_def	NOM			Elicited
vulay tu pakpak kana ayam	The bird's wings are beautiful.	3	1	none	n/a-POSS	none	PrPdP									common_def	OBL			Elicited
idu na cau (mu) mukuwa maateda kani Lutan i Taihok	That person sent Lutan to Taipei. (drive Lutan to Taipei)	3	1	A-U	AF	actor	AVVUL	common_def	NOM	prsn_sg	OBL			loc	LOC					Elicited
idu na cau mu mukuwa i Taihok maateda kani Lutan	That person sent Lutan to Taipei. (drive Lutan to Taipei)	3	2	A-U	AF	actor	AVLVU	common_def	NOM	prsn_sg	OBL			loc	LOC					Accepted
